date,token,value_chf,denomination
2025-01-01,ETH,,1
2025-01-02,ETH,3167.741013,1
2025-01-03,ETH,3259.607003,1
2025-01-06,ETH,3378.613697,1
2025-01-07,ETH,3158.696134,1
2025-01-08,ETH,3037.727838,1
2025-01-09,ETH,3007.539768,1
2025-01-10,ETH,2971.150756,1
2025-01-13,ETH,2780.316261,1
2025-01-14,ETH,2918.479722,1
2025-01-15,ETH,3063.077623,1
2025-01-16,ETH,3054.62696,1
2025-01-17,ETH,3144.613534,1
2025-01-20,ETH,3037.397038,1
2025-01-21,ETH,3008.284027,1
2025-01-22,ETH,2974.089721,1
2025-01-23,ETH,2979.125894,1
2025-01-24,ETH,3067.320855,1
2025-01-27,ETH,2807.692693,1
2025-01-28,ETH,2862.65502,1
2025-01-29,ETH,2801.206762,1
2025-01-30,ETH,2964.658765,1
2025-01-31,ETH,3086.173048,1
2025-02-03,ETH,2464.742715,1
2025-02-04,ETH,2529.419281,1
2025-02-05,ETH,2478.784265,1
2025-02-06,ETH,2451.398606,1
2025-02-07,ETH,2469.650508,1
2025-02-10,ETH,2421.626091,1
2025-02-11,ETH,2423.362948,1
2025-02-12,ETH,2369.569909,1
2025-02-13,ETH,2376.7363,1
2025-02-14,ETH,2447.831855,1
2025-02-17,ETH,2458.090942,1
2025-02-18,ETH,2397.656002,1
2025-02-19,ETH,2450.892659,1
2025-02-20,ETH,2453.166805,1
2025-02-21,ETH,2466.652142,1
2025-02-24,ETH,2395.901351,1
2025-02-25,ETH,2131.910602,1
2025-02-26,ETH,2146.276601,1
2025-02-27,ETH,2080.419874,1
2025-02-28,ETH,1995.646464,1
2025-03-03,ETH,2053.478357,1
2025-03-04,ETH,1798.428489,1
2025-03-05,ETH,1927.980329,1
2025-03-06,ETH,1988.023194,1
2025-03-07,ETH,1901.569046,1
2025-03-10,ETH,1772.446297,1
2025-03-11,ETH,1692.153124,1
2025-03-12,ETH,1647.195998,1
2025-03-13,ETH,1643.642026,1
2025-03-14,ETH,1703.479721,1
2025-03-17,ETH,1688.972818,1
2025-03-18,ETH,1657.171726,1
2025-03-19,ETH,1796.887394,1
2025-03-20,ETH,1728.10503,1
2025-03-21,ETH,1730.354692,1
2025-03-24,ETH,1833.624107,1
2025-03-25,ETH,1824.795618,1
2025-03-26,ETH,1784.816516,1
2025-03-27,ETH,1770.739483,1
2025-03-28,ETH,1648.825225,1
2025-03-31,ETH,1628.605343,1
2025-04-01,ETH,1686.412763,1
2025-04-02,ETH,1668.385103,1
2025-04-03,ETH,1516.287865,1
2025-04-04,ETH,1542.862629,1
2025-04-07,ETH,1328.489676,1
2025-04-08,ETH,1310.873589,1
2025-04-09,ETH,1250.641946,1
2025-04-10,ETH,1272.62379,1
2025-04-11,ETH,1271.735752,1
2025-04-14,ETH,1349.805339,1
2025-04-15,ETH,1327.67502,1
2025-04-16,ETH,1308.638024,1
2025-04-17,ETH,1295.061929,1
2025-04-18,ETH,,1
2025-04-21,ETH,1316.530388,1
2025-04-22,ETH,1393.070708,1
2025-04-23,ETH,1462.912713,1
2025-04-24,ETH,1461.207916,1
2025-04-25,ETH,1506.87901,1
2025-04-28,ETH,1453.806975,1
2025-04-29,ETH,1498.877295,1
2025-04-30,ETH,1449.756949,1
2025-05-01,ETH,1552.22519,1
2025-05-02,ETH,1512.314228,1
2025-05-05,ETH,1483.179251,1
2025-05-06,ETH,1462.075211,1
2025-05-07,ETH,1494.23608,1
2025-05-08,ETH,1671.85063,1
2025-05-09,ETH,1907.574252,1
2025-05-12,ETH,2111.145585,1
2025-05-13,ETH,2153.33258,1
2025-05-14,ETH,2169.660702,1
